John Hayden,F,52,2,2,4,-11,2018-2022
Butch Deadmarsh,F,56,2,2,4,-15,2013-2014
Bob Errey,F,8,1,3,4,2,1984-1987
Paul Szczechura,F,9,1,3,4,0,2012-2014
Mark Renaud,D,10,1,3,4,1,2005-2010
Dominic Moore,F,18,1,3,4,-1,1986-1987
Michael Frol�k,F,19,1,3,4,-2,2005-2010
Greg Brown,D,49,1,3,4,-25,2012-2013
Sergei Petrenko,F,14,0,4,4,-3,1986-1990
Adam Pardy,D,17,0,4,4,4,2010-2011
Casey Fitzgerald,D,25,0,4,4,-16,1990-1991
Cory Sarich,D,46,0,4,4,5,1998-2004
Gary Bromley,G,63,0,4,4,,1980-1985
Grant Fuhr,G,64,0,4,4,,1991-1993
Greg Paslawski,F,12,2,1,3,0,1994-1996
C.J. Smith,F,14,2,1,3,-1,1995-2000
Seth Griffith,F,21,2,1,3,-6,1970-1987
Rod Zaine,F,24,2,1,3,-14,1970-1971
Geordie Robertson,F,5,1,2,3,-1,2021-2022
Steven Fogarty,F,9,1,2,3,2,2003-2009
Scott Metcalfe,F,17,1,2,3,-2,1981-1985
Zac Dalpe,F,21,1,2,3,-11,1993-1994
Mike Boland,D,22,1,2,3,5,2018-2020
Hudson Fasching,F,22,1,2,3,0,1998-2004
Ron Busniuk,F,6,0,3,3,-1,1993-1999
Mark Ferner,D,15,0,3,3,0,1978-1990
Norm Milley,F,15,0,3,3,-2,2003-2019
Jeff Jillson,D,16,0,3,3,-3,2012-2014
Tom Draper,G,37,0,3,3,,2017-2018
Ray McKay,D,40,0,3,3,-12,2007-2008
Derek Grant,F,40,0,3,3,-3,1970-1974
Roger Crozier,G,202,0,3,3,,1991-1995
Jim Jackson,F,5,2,0,2,0,1986-1990
T.J. Brennan,D,21,2,0,2,-1,1994-2000
Jack Quinn,F,2,1,1,2,0,2021-2022
Paul Byron,F,8,1,1,2,0,1985-1993
Joe Juneau,F,9,1,1,2,-1,2001-2006
Real Lemieux,F,11,1,1,2,0,2012-2022
Mike Funk,D,9,0,2,2,-1,2021-2022
Jir� Sejba,F,11,0,2,2,-5,1971-1985
Brad Brown,D,13,0,2,2,3,1979-1993
Linus Omark,F,13,0,2,2,-5,1977-1978
Matt Hunwick,D,14,0,2,2,-7,1997-2002
Matt Irwin,D,24,0,2,2,-10,1989-2003
Chad Ruhwedel,D,33,0,2,2,0,2017-2018
Paul McIntosh,D,48,0,2,2,-2,1985-1989
Chad Johnson,G,81,0,2,2,,2011-2013
Carter Hutton,G,94,0,2,2,,2014-2021
Dave Dryden,G,120,0,2,2,,1983-1984
Robin Lehner,G,133,0,2,2,,1975-1979
Travis Turnbull,F,3,1,0,1,0,1972-1973
Ethan Prow,D,4,1,0,1,-1,2020-2021
Doug MacDonald,F,11,1,0,1,-3,2013-2021
Domenic Pittis,F,14,1,0,1,0,2008-2011
Mika Noronen,G,67,1,0,1,,1971-1979
John Scott,D,90,1,0,1,-13,1982-1983
Francois Lacombe,D,1,0,1,1,-2,1971-1975
Chris Thorburn,F,2,0,1,1,-1,2015-2020
Connor Knapp,G,2,0,1,1,,1998-2000
Joel Savage,F,3,0,1,1,-2,1972-1974
Jim Walsh,D,4,0,1,1,1,1996-1997
Cole Schneider,F,6,0,1,1,2,2003-2012
Wayne Simmonds,F,7,0,1,1,-4,1979-1989
Don McSween,D,9,0,1,1,-2,2012-2016
Steve Ludzik,F,11,0,1,1,-2,2020-2022
Peter Ambroziak,F,12,0,1,1,-1,1985-1987
Terry Ball,D,12,0,1,1,-7,1986-1992
Jason Holland,D,12,0,1,1,-1,2006-2008
Bill Inglis,F,14,0,1,1,-4,2020-2022
Todd Simon,F,15,0,1,1,-3,1997-2000
Remi Elie,F,16,0,1,1,-3,1998-2000
Brian Curran,D,20,0,1,1,-3,1996-2004
Zenon Konopka,F,23,0,1,1,-4,1976-1985
Jean-Luc Grand-Pierre,D,27,0,1,1,-1,1980-1983
Randy Hillier,D,28,0,1,1,-14,1990-1991
Dustin Tokarski,G,36,0,1,1,,1976-1983
Joe Daley,G,38,0,1,1,,2017-2020
Ed Hospodar,D,42,0,1,1,-1,2014-2016
Patrick Lalime,G,47,0,1,1,,1970-1971
Gerry Desjardins,G,116,0,1,1,,2015-2017
Linus Ullmark,G,117,0,1,1,,1977-1978
Jeff Eatough,F,1,0,0,0,-1,1972-1985
Francois Guay,F,1,0,0,0,0,1978-1980
Trent Kaese,F,1,0,0,0,0,2012-2014
Reed Larson,D,1,0,0,0,1,1977-1986
Sean McMorrow,F,1,0,0,0,0,1990-1991
David Moravec,F,1,0,0,0,-1,2006-2013
Brian Perry,F,1,0,0,0,0,1996-1997
Peter Skudra,G,1,0,0,0,,1970-1972
Dean Sylvester,F,1,0,0,0,-1,1988-1992
Joel Armia,F,1,0,0,0,0,1995-1999
Andrei Makarov,G,1,0,0,0,,2020-2021
Dalton Smith,F,1,0,0,0,1,2018-2020
Sean Malone,F,1,0,0,0,0,1987-1990
Adam Wilcox,G,1,0,0,0,,1995-1998
Ryan MacInnis,F,1,0,0,0,0,2019-2020
Jason Kasdorf,G,1,0,0,0,,1993-1994
Christian Wolanin,D,1,0,0,0,-2,1993-1995
Brandon Biro,F,1,0,0,0,0,2018-2022
James Black,F,2,0,0,0,0,2000-2001
Darren Eliot,G,2,0,0,0,,1992-2002
Paul Gardner,F,2,0,0,0,-3,1975-1977
Randy Ireland,G,2,0,0,0,,2016-2021
David Littman,G,2,0,0,0,,2019-2020
Mitch Molloy,F,2,0,0,0,0,1975-1982
Mark Parrish,F,2,0,0,0,-2,1985-1988
Wayne Ramsey,D,2,0,0,0,0,1970-1972
Kai Suikkanen,F,2,0,0,0,0,1988-1989
Doug Trapp,F,2,0,0,0,0,1989-1992
Drew MacIntyre,G,2,0,0,0,,2018-2020
Derek Whitmore,F,2,0,0,0,0,2006-2009
Erik Burgdoerfer,D,2,0,0,0,-1,1973-1977
John Peterka,F,2,0,0,0,0,2020-2021
Jere Gillis,F,3,0,0,0,-6,2006-2015
Jean-Guy Lagace,D,3,0,0,0,0,1974-1978
Bryan McSheffrey,F,3,0,0,0,1,1994-1995
Bob Richer,F,3,0,0,0,0,1977-1979
Steve Smith,D,3,0,0,0,0,2013-2015
Zach Redmond,D,3,0,0,0,1,2014-2015
Danny ORegan,F,3,0,0,0,1,2010-2012
Mike Card,D,4,0,0,0,0,2021-2022
Alex Tidey,F,4,0,0,0,-2,1981-1983
Malcolm Subban,G,4,0,0,0,,2011-2014
Jean-Sebastien Dea,F,4,0,0,0,-1,1990-1995
John Gilmour,D,4,0,0,0,-2,1991-1995
John Blue,G,5,0,0,0,,1992-1995
Peter Ciavaglia,F,5,0,0,0,1,1998-1999
Ty Conklin,G,5,0,0,0,,2011-2012
Richard Hajdu,F,5,0,0,0,2,1970-1971
Mike Hurlbut,D,5,0,0,0,2,2001-2014
Dave McLlwain,F,5,0,0,0,-3,1990-1992
Dean Melanson,D,5,0,0,0,-1,1999-2004
Phil Myre,G,5,0,0,0,,2008-2009
Scott Nichol,F,5,0,0,0,0,2017-2019
Colin Stuart,F,5,0,0,0,-2,1970-1974
Joe Finley,F,5,0,0,0,-3,2007-2008
Brady Austin,D,5,0,0,0,0,1992-1994
Dale Degray,D,6,0,0,0,-4,2018-2022
Paul Harrison,G,6,0,0,0,,2005-2006
Grant Jennings,D,6,0,0,0,1,1976-1978
Jaroslav Kristek,F,6,0,0,0,-2,1974-1976
Robb Stauber,G,6,0,0,0,,2020-2022
Mikael Tellqvist,G,6,0,0,0,,2009-2010
Brandon Davidson,D,6,0,0,0,-4,1986-1987
Michael Houser,G,6,0,0,0,,1995-1997
Val James,F,7,0,0,0,-1,2011-2014
Nathan Lieuwen,G,7,0,0,0,,1993-1995
Bob Essensa,G,9,0,0,0,,1999-2001
Jerry DAmigo,F,9,0,0,0,-4,2021-2022
Kyle Criscuolo,F,9,0,0,0,-4,1983-1991
Doug Janik,D,10,0,0,0,1,1987-1992
Rumun Ndur,D,11,0,0,0,1,2011-2012
